x1,y1,x2,y2
8440000,6198998,8440000,6148999
8440000,6148999,9240000,6148999
9240000,6148999,9240000,4498000
9240000,4498000,7640000,4498000
7640000,4498000,7640000,3800000
8440000,6198998,8440000,6108000
8440000,6108000,9056000,6108000
9056000,6108000,9056000,6098000
9056000,6098000,9072652,6098000
9072652,6098000,9072652,4832000
9072652,4832000,8644000,4832000
8644000,4832000,8644000,4515000
8644000,4515000,8068972,4515000
8068972,4515000,8068972,2920000
8068972,2920000,8040000,2920000
8440000,6198998,9148000,6198998
9148000,6198998,9148000,6098000
9148000,6098000,9030000,6098000
9030000,6098000,9030000,5833000
9030000,5833000,8760000,5833000
8760000,5833000,8760000,2600000
8760000,2600000,8840000,2600000
7640000,3800000,7037352,3800000
7037352,3800000,7037352,4236999
7037352,4236999,6760000,4236999
6760000,4236999,6760000,4600000
6760000,4600000,6680000,4600000
7640000,3800000,8924000,3800000
8924000,3800000,8924000,3226998
8924000,3226998,8944000,3226998
9490000,2200000,9490000,2830000
9490000,2830000,8390000,2830000
8390000,2830000,8390000,2865800
8390000,2865800,8346000,2865800
8346000,2865800,8346000,2902000
8346000,2902000,8040000,2902000
8040000,2902000,8040000,2920000
8944000,3226998,8924000,3226998
8924000,3226998,8924000,3119999
8924000,3119999,8390000,3119999
8390000,3119999,8390000,3119999
8390000,3119999,7640000,3119999
7640000,3119999,7640000,3800000
7640000,3800000,7030000,3800000
7030000,3800000,7030000,4359999
7030000,4359999,6760000,4359999
6760000,4359999,6760000,4600000
6760000,4600000,6680000,4600000
7640000,3800000,7640000,4479999
7640000,4479999,7034352,4479999
7034352,4479999,7034352,4479999
7034352,4479999,6680000,4479999
6680000,4479999,6680000,4600000
7640000,3800000,7640000,4639999
7640000,4639999,7034352,4639999
7034352,4639999,7034352,4679999
7034352,4679999,6680000,4679999
6680000,4679999,6680000,4600000
7640000,3800000,7640000,3976000
7640000,3976000,6808000,3976000
6808000,3976000,6808000,4600000
6808000,4600000,6680000,4600000
4680000,3079998,4680000,3940999
4680000,3940999,6040000,3940999
6040000,3940999,6040000,4600000
6040000,4600000,6680000,4600000
4680000,3079998,4680000,3961999
4680000,3961999,6120000,3961999
6120000,3961999,6120000,4639999
6120000,4639999,6289000,4639999
6289000,4639999,6289000,4679999
6289000,4679999,6654000,4679999
6654000,4679999,6654000,4600000
6654000,4600000,6680000,4600000
8944000,3226998,8425000,3226998
8425000,3226998,8425000,3759999
8425000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
