x1,y1,x2,y2
9490000,2200000,9490000,2862000
9490000,2862000,7760000,2862000
7760000,2862000,7760000,3759999
7760000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
9490000,2200000,9490000,2862000
9490000,2862000,7760000,2862000
7760000,2862000,7760000,3800000
7760000,3800000,7640000,3800000
8440000,6198998,8703000,6198998
8703000,6198998,8703000,2253000
8703000,2253000,9482000,2253000
9482000,2253000,9482000,2200000
9482000,2200000,9490000,2200000
8440000,6198998,8440000,5493000
8440000,5493000,7880000,5493000
7880000,5493000,7880000,5480000
8440000,6198998,8440000,6108000
8440000,6108000,7288003,6108000
7288003,6108000,7288003,5991000
7288003,5991000,5975512,5991000
5975512,5991000,5975512,3079998
5975512,3079998,4680000,3079998
8440000,6198998,8440000,6108000
8440000,6108000,8680000,6108000
8680000,6108000,8680000,3839999
8680000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
8440000,6198998,8440000,6108000
8440000,6108000,9080000,6108000
9080000,6108000,9080000,5160000
7640000,3800000,8680000,3800000
8680000,3800000,8680000,6198998
8680000,6198998,8440000,6198998
7640000,3800000,7640000,3800000
7640000,3800000,7640000,3800000
7640000,3800000,7640000,3800000
7640000,3800000,7640000,3800000
7640000,3800000,7640000,3800000
7640000,3800000,7640000,3800000
7640000,3800000,7640000,3800000
7640000,3800000,6680000,3800000
6680000,3800000,6680000,4600000
7640000,3800000,7640000,3079998
7640000,3079998,4680000,3079998
7880000,5480000,7880000,3839999
7880000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
7880000,5480000,7880000,3839999
7880000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
7880000,5480000,7880000,3839999
7880000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
7880000,5480000,7880000,3839999
7880000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
7880000,5480000,7880000,3839999
7880000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
7880000,5480000,7880000,3839999
7880000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
7880000,5480000,7880000,3839999
7880000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
7880000,5480000,7880000,3839999
7880000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
7880000,5480000,7880000,3839999
7880000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
8040000,2920000,8040000,3759999
8040000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
8040000,2920000,8040000,3800000
8040000,3800000,7640000,3800000
8040000,2920000,8040000,3759999
8040000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
8040000,2920000,8040000,3759999
8040000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
8040000,2920000,7760000,2920000
7760000,2920000,7760000,3800000
7760000,3800000,7640000,3800000
8040000,2920000,8040000,3800000
8040000,3800000,7640000,3800000
4840000,6120000,7041000,6120000
7041000,6120000,7041000,2950000
7041000,2950000,7995168,2950000
7995168,2950000,7995168,2920000
7995168,2920000,8040000,2920000
4840000,6120000,4840000,4799120
4840000,4799120,8040000,4799120
8040000,4799120,8040000,2920000
4840000,6120000,4840000,4799120
4840000,4799120,7995168,4799120
7995168,4799120,7995168,2920000
7995168,2920000,8040000,2920000
4840000,6120000,4840000,4799120
4840000,4799120,8040000,4799120
8040000,4799120,8040000,2920000
9490000,2200000,9490000,2862000
9490000,2862000,8040000,2862000
8040000,2862000,8040000,2920000
8944000,3226998,7640000,3226998
7640000,3226998,7640000,3800000
8944000,3226998,7640000,3226998
7640000,3226998,7640000,3800000
8944000,3226998,7697000,3226998
7697000,3226998,7697000,3800000
7697000,3800000,7640000,3800000
8944000,3226998,7697000,3226998
7697000,3226998,7697000,3800000
7697000,3800000,7640000,3800000
8944000,3226998,7697000,3226998
7697000,3226998,7697000,3800000
7697000,3800000,7640000,3800000
8944000,3226998,5975512,3226998
5975512,3226998,5975512,6059000
5975512,6059000,34000,6059000
34000,6059000,34000,5254000
34000,5254000,146000,5254000
146000,5254000,146000,3336000
146000,3336000,190000,3336000
8944000,3226998,5975512,3226998
5975512,3226998,5975512,6059000
5975512,6059000,34000,6059000
34000,6059000,34000,5254000
34000,5254000,146000,5254000
146000,5254000,146000,3336000
146000,3336000,190000,3336000
8944000,3226998,5975512,3226998
5975512,3226998,5975512,6059000
5975512,6059000,34000,6059000
34000,6059000,34000,5254000
34000,5254000,146000,5254000
146000,5254000,146000,3336000
146000,3336000,190000,3336000
8944000,3226998,5975512,3226998
5975512,3226998,5975512,6059000
5975512,6059000,34000,6059000
34000,6059000,34000,5254000
34000,5254000,146000,5254000
146000,5254000,146000,3336000
146000,3336000,190000,3336000
8944000,3226998,8944000,3226998
8944000,3226998,8944000,3226998
8944000,3226998,8944000,3226998
8944000,3226998,8944000,3226998
8944000,3226998,8944000,3226998
8944000,3226998,8944000,3226998
7640000,3800000,7640000,4600000
7640000,4600000,6680000,4600000
7640000,3800000,7640000,4600000
7640000,4600000,6680000,4600000
7640000,3800000,6760000,3800000
6760000,3800000,6760000,4600000
6760000,4600000,6680000,4600000
7640000,3800000,7640000,4541000
7640000,4541000,6680000,4541000
6680000,4541000,6680000,4600000
7640000,3800000,7640000,4600000
7640000,4600000,6680000,4600000
7640000,3800000,6680000,3800000
6680000,3800000,6680000,4600000
7640000,3800000,7640000,4541000
7640000,4541000,6680000,4541000
6680000,4541000,6680000,4600000
7640000,3800000,6680000,3800000
6680000,3800000,6680000,4600000
7640000,3800000,7640000,5480000
7640000,5480000,7880000,5480000
6680000,4600000,6680000,6234080
6680000,6234080,8440000,6234080
8440000,6234080,8440000,6198998
6680000,4600000,6680000,3839999
6680000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
6680000,4600000,6680000,6234080
6680000,6234080,8440000,6234080
8440000,6234080,8440000,6198998
6680000,4600000,7640000,4600000
7640000,4600000,7640000,3800000
7640000,3800000,7640000,3800000
8040000,2920000,8040000,3759999
8040000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
8040000,2920000,8040000,3800000
8040000,3800000,7640000,3800000
8040000,2920000,8040000,3759999
8040000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
7880000,5480000,7880000,6171999
7880000,6171999,8440000,6171999
8440000,6171999,8440000,6198998
7880000,5480000,7880000,6171999
7880000,6171999,8440000,6171999
8440000,6171999,8440000,6198998
4680000,3079998,8680000,3079998
8680000,3079998,8680000,6198998
8680000,6198998,8440000,6198998
4680000,3079998,4680000,3759999
4680000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
4680000,3079998,6654000,3079998
6654000,3079998,6654000,4600000
6654000,4600000,6680000,4600000
4680000,3079998,4680000,3940999
4680000,3940999,6654000,3940999
6654000,3940999,6654000,4600000
6654000,4600000,6680000,4600000
8944000,3226998,8944000,6011000
8944000,6011000,8680000,6011000
8680000,6011000,8680000,6198998
8680000,6198998,8440000,6198998
8944000,3226998,8944000,6011000
8944000,6011000,8680000,6011000
8680000,6011000,8680000,6198998
8680000,6198998,8440000,6198998
8944000,3226998,8944000,3800000
8944000,3800000,7640000,3800000
8944000,3226998,8944000,3800000
8944000,3800000,7640000,3800000
8944000,3226998,7697000,3226998
7697000,3226998,7697000,3800000
7697000,3800000,7640000,3800000
8944000,3226998,7640000,3226998
7640000,3226998,7640000,3800000
8944000,3226998,7697000,3226998
7697000,3226998,7697000,3800000
7697000,3800000,7640000,3800000
8040000,2920000,8040000,3759999
8040000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
8040000,2920000,8040000,3759999
8040000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
8040000,2920000,8040000,3800000
8040000,3800000,7640000,3800000
8040000,2920000,8040000,3759999
8040000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
8040000,2920000,8040000,3759999
8040000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
7640000,3800000,7640000,3800000
7640000,3800000,7640000,3800000
7640000,3800000,7640000,3800000
7640000,3800000,7640000,2950000
7640000,2950000,7995168,2950000
7995168,2950000,7995168,2920000
7995168,2920000,8040000,2920000
7640000,3800000,7640000,2950000
7640000,2950000,8040000,2950000
8040000,2950000,8040000,2920000
7640000,3800000,7640000,2950000
7640000,2950000,8040000,2950000
8040000,2950000,8040000,2920000
7640000,3800000,7640000,2950000
7640000,2950000,8040000,2950000
8040000,2950000,8040000,2920000
8840000,2600000,8840000,6011000
8840000,6011000,8680000,6011000
8680000,6011000,8680000,6198998
8680000,6198998,8440000,6198998
8840000,2600000,7760000,2600000
7760000,2600000,7760000,3800000
7760000,3800000,7640000,3800000
8840000,2600000,8840000,3759999
8840000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
8840000,2600000,8840000,3880000
8840000,3880000,8760000,3880000
8840000,2600000,8840000,5160000
8840000,5160000,9080000,5160000
8840000,2600000,8840000,5160000
8840000,5160000,9080000,5160000
8840000,2600000,8840000,4799120
8840000,4799120,4737000,4799120
4737000,4799120,4737000,6059000
4737000,6059000,40000,6059000
40000,6059000,40000,4280000
8840000,2600000,8840000,4799120
8840000,4799120,4737000,4799120
4737000,4799120,4737000,6059000
4737000,6059000,40000,6059000
40000,6059000,40000,4280000
8840000,2600000,8840000,5160000
8840000,5160000,9080000,5160000
8840000,2600000,9470000,2600000
9470000,2600000,9470000,164080
9470000,164080,675000,164080
675000,164080,675000,3283000
675000,3283000,215168,3283000
215168,3283000,215168,3336000
215168,3336000,190000,3336000
8840000,2600000,8840000,5160000
8840000,5160000,9080000,5160000
8840000,2600000,8840000,5160000
8840000,5160000,9080000,5160000
8840000,2600000,8840000,5160000
8840000,5160000,9080000,5160000
8840000,2600000,8840000,5160000
8840000,5160000,9080000,5160000
8840000,2600000,8840000,3199999
8840000,3199999,8944000,3199999
8944000,3199999,8944000,3226998
8760000,3880000,8760000,2600000
8760000,2600000,8840000,2600000
8760000,3880000,8760000,3226998
8760000,3226998,8944000,3226998
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,7760000,2862000
7760000,2862000,7760000,3759999
7760000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
4840000,6120000,4840000,4799120
4840000,4799120,8840000,4799120
8840000,4799120,8840000,2600000
4840000,6120000,4840000,4799120
4840000,4799120,8760000,4799120
8760000,4799120,8760000,2600000
8760000,2600000,8840000,2600000
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2564000
9470000,2564000,8840000,2564000
8840000,2564000,8840000,2600000
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2564000
9470000,2564000,8840000,2564000
8840000,2564000,8840000,2600000
8760000,3880000,8760000,2600000
8760000,2600000,8840000,2600000
8944000,3226998,8944000,2600000
8944000,2600000,8840000,2600000
8944000,3226998,8944000,3800000
8944000,3800000,7640000,3800000
8944000,3226998,8944000,2600000
8944000,2600000,8840000,2600000
8944000,3226998,8944000,2253000
8944000,2253000,9470000,2253000
9470000,2253000,9470000,164080
9470000,164080,675000,164080
675000,164080,675000,3283000
675000,3283000,215168,3283000
215168,3283000,215168,3336000
215168,3336000,190000,3336000
9490000,2200000,9490000,2862000
9490000,2862000,7760000,2862000
7760000,2862000,7760000,3800000
7760000,3800000,7640000,3800000
9490000,2200000,9490000,2862000
9490000,2862000,7760000,2862000
7760000,2862000,7760000,3759999
7760000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
9490000,2200000,9490000,2862000
9490000,2862000,7760000,2862000
7760000,2862000,7760000,3800000
7760000,3800000,7640000,3800000
190000,3336000,190000,3566920
190000,3566920,107000,3566920
107000,3566920,107000,5313000
107000,5313000,34000,5313000
34000,5313000,34000,6059000
34000,6059000,7041000,6059000
7041000,6059000,7041000,3839999
7041000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
190000,3336000,190000,3566920
190000,3566920,107000,3566920
107000,3566920,107000,5313000
107000,5313000,34000,5313000
34000,5313000,34000,6059000
34000,6059000,7041000,6059000
7041000,6059000,7041000,3839999
7041000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
3560000,2280000,5641000,2280000
5641000,2280000,5641000,164080
5641000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,7760000,2862000
7760000,2862000,7760000,3759999
7760000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
3560000,2280000,5641000,2280000
5641000,2280000,5641000,164080
5641000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,7760000,2862000
7760000,2862000,7760000,3759999
7760000,3759999,7640000,3759999
7640000,3759999,7640000,3800000
9080000,5160000,9080000,3839999
9080000,3839999,7640000,3839999
7640000,3839999,7640000,3800000
8944000,3226998,5975512,3226998
5975512,3226998,5975512,6059000
5975512,6059000,34000,6059000
34000,6059000,34000,5254000
34000,5254000,146000,5254000
146000,5254000,146000,3336000
146000,3336000,190000,3336000
4680000,3079998,4680000,3961999
4680000,3961999,5975512,3961999
5975512,3961999,5975512,6059000
5975512,6059000,34000,6059000
34000,6059000,34000,5254000
34000,5254000,146000,5254000
146000,5254000,146000,3336000
146000,3336000,190000,3336000
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,8977000,2862000
8977000,2862000,8977000,5160000
8977000,5160000,9080000,5160000
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,8977000,2862000
8977000,2862000,8977000,5160000
8977000,5160000,9080000,5160000
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,8977000,2862000
8977000,2862000,8977000,5160000
8977000,5160000,9080000,5160000
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,8977000,2862000
8977000,2862000,8977000,5160000
8977000,5160000,9080000,5160000
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,7760000,2862000
7760000,2862000,7760000,4504000
7760000,4504000,6120000,4504000
6120000,4504000,6120000,4520000
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,7760000,2862000
7760000,2862000,7760000,4504000
7760000,4504000,6120000,4504000
6120000,4504000,6120000,4520000
4840000,360000,5635000,360000
5635000,360000,5635000,164080
5635000,164080,9470000,164080
9470000,164080,9470000,2862000
9470000,2862000,7760000,2862000
7760000,2862000,7760000,4520000
7760000,4520000,6120000,4520000
